cgpa,project_score,sports_score,internships,certifications,workshops,clubs,problemSolvingRank,extraPoints,coPoints,attendance,tier
6.92,355,37,0,4,4,3,237,45,33,75,1
6.31,263,100,3,0,5,0,2743,30,7,86,2
7.16,497,289,2,3,3,1,2383,39,91,78,2
6.64,67,376,0,2,3,2,2821,93,72,81,3
9.72,106,172,2,5,1,4,113,83,49,62,1
9.23,399,342,2,6,4,1,389,26,0,91,1
8.53,66,415,1,0,4,1,889,24,93,72,2
9.49,198,365,4,4,4,1,690,49,44,72,1
9.21,191,66,1,5,5,1,1427,97,31,85,1
6.75,1,190,4,3,4,3,2722,34,61,94,2
9.57,256,438,1,5,2,4,2357,42,94,73,2
8.16,441,42,0,4,5,1,1045,51,67,94,1
9.23,0,122,2,1,0,1,1325,4,35,79,2
9.58,357,277,0,4,4,0,1596,38,14,69,1
7.27,114,342,4,2,0,4,1973,62,77,79,2
6.44,390,195,2,4,0,2,2520,71,48,82,2
6.91,87,332,2,0,1,1,2851,18,17,68,3
7.71,196,124,4,1,4,3,1874,17,10,70,2
9.27,468,95,0,5,2,1,2809,79,76,75,2
9.44,91,377,2,5,1,1,14,82,79,80,1
6.03,273,156,0,2,1,1,1622,78,14,71,2
8.04,343,39,0,1,0,4,615,92,74,64,2
7.67,159,359,0,2,3,4,2270,78,10,61,2
6.89,172,172,2,7,2,1,1292,28,90,75,1
6.48,32,374,3,5,5,3,689,16,54,67,1
7.35,457,393,1,1,4,2,1740,14,58,97,2
9.77,72,460,4,7,4,0,1143,39,67,77,1
7.29,432,172,0,7,2,2,2152,74,89,65,2
8.08,416,119,2,3,4,3,732,2,62,90,1
8.81,480,272,4,4,3,3,1490,76,56,63,1
7.45,454,357,3,0,5,2,1397,37,25,72,1
9.89,195,385,3,0,3,2,665,8,14,83,1
9.85,283,400,2,3,4,1,883,83,76,69,1
7.01,86,363,0,6,1,2,2800,47,85,97,2
7.99,308,345,3,1,5,2,1051,89,84,71,1
7.2,223,374,3,4,5,1,2206,56,10,62,2
7.14,43,421,3,3,4,3,1739,75,57,77,2
6.15,335,420,2,1,4,4,2747,48,65,89,2
8.44,493,318,4,4,2,1,1965,94,74,84,1
8.01,438,260,1,7,3,2,1205,1,89,60,1
6.21,137,280,2,1,5,0,2638,32,40,65,2
7.11,269,328,0,0,1,2,301,15,14,96,2
9.63,358,123,2,4,2,0,2493,4,76,93,1
6.96,35,475,2,0,2,1,267,52,78,74,2
6.58,33,277,1,0,1,4,78,80,55,73,2
7.96,87,92,1,4,1,4,2671,62,50,100,2
9.94,145,446,1,3,2,0,1750,55,49,100,2
6.97,15,34,4,1,4,3,1226,31,18,65,2
8.69,232,310,2,4,1,0,228,14,43,100,1
9.05,420,127,0,5,5,0,1048,60,74,96,1
6.95,40,19,1,0,0,1,2593,11,75,61,3
8.91,254,260,1,7,1,2,2454,16,86,65,2
7.47,280,166,2,7,5,3,1139,9,0,90,1
8.53,125,318,0,1,2,0,2851,89,93,71,3
8.53,7,235,1,4,0,1,1089,43,38,60,2
8.14,471,31,2,3,2,3,1882,91,22,94,1
6.36,467,230,3,4,3,4,1457,27,88,82,1
9.34,367,190,4,4,3,4,1090,86,43,78,1
7.28,349,329,2,2,4,1,2478,19,20,65,2
6.75,339,423,1,7,1,3,2693,80,27,61,2
6.16,401,144,0,5,2,2,679,51,10,82,2
8.36,323,100,3,1,0,1,79,7,23,87,1
8.71,175,78,0,4,5,2,733,78,11,81,1
6.07,227,456,0,0,1,0,1459,86,59,95,2
8.05,453,159,0,0,4,2,2453,77,66,61,2
6.91,322,254,2,2,2,1,2548,26,32,76,2
8.58,401,278,2,0,5,3,2465,76,76,94,2
6.7,366,458,4,4,5,2,2583,38,65,70,2
8.76,487,187,3,1,2,0,72,88,41,81,1
7.55,17,460,0,2,3,3,166,89,43,68,2
9.75,55,209,1,5,4,4,2479,62,56,61,2
6.55,406,240,0,6,5,4,769,74,15,65,1
7.36,34,55,3,2,2,3,2858,37,83,96,2
6.45,389,136,0,7,3,1,324,72,95,70,1
9.7,117,105,2,3,3,2,1998,96,86,70,2
9.51,281,68,2,3,0,2,2764,50,61,81,2
7.03,253,189,3,1,5,3,1561,79,9,96,2
8.64,212,191,4,7,4,2,1652,83,62,64,1
9.27,60,490,0,7,4,4,368,6,22,84,1
8.22,87,277,3,1,2,3,185,32,80,65,1
8.12,270,31,1,6,0,2,2228,76,49,68,2
6.97,346,174,1,2,1,0,1927,46,71,62,2
6.37,31,257,4,4,2,1,903,34,3,85,1
9.59,395,122,2,4,3,0,952,67,71,76,1
9.6,132,84,3,3,1,0,1959,62,22,74,1
8.53,63,475,0,1,1,2,2131,94,33,62,2
7.36,198,435,3,6,5,3,751,93,53,88,1
7.4,255,215,4,1,2,4,1788,2,96,88,1
8.9,341,215,3,4,5,3,118,40,13,90,1
9.59,154,13,4,3,0,2,650,90,84,78,1
9.55,462,36,4,4,4,2,876,31,3,99,1
9.12,230,26,4,4,0,4,676,46,89,96,1
8.57,300,151,3,2,2,0,643,37,81,65,1
6.34,34,63,1,1,4,0,2381,5,45,60,3
6.65,25,69,0,2,1,3,397,61,36,69,2
9.59,22,153,4,2,3,1,1200,7,64,68,1
8.43,140,437,2,4,5,2,2672,53,61,98,2
6.04,473,252,4,3,0,4,2691,87,66,74,2
6.41,386,270,3,4,5,3,1599,78,90,80,1
8.65,284,28,4,5,5,4,2033,24,58,87,1
6.02,449,483,2,3,4,0,1666,26,79,79,2
6.64,319,73,1,6,0,0,1981,12,54,92,2
8.19,155,283,3,1,4,3,1979,83,35,92,2
8.77,470,58,3,5,3,1,779,4,22,94,1
8.61,419,242,3,5,5,0,2886,70,31,63,1
6.9,112,328,2,5,2,4,2883,57,77,87,2
8.85,389,148,3,0,2,2,608,68,47,95,1
6.95,138,9,1,1,4,2,1412,27,38,80,2
7.3,421,131,0,4,4,1,751,36,10,64,1
8.99,373,61,0,3,2,3,541,92,60,73,1
8.6,417,387,4,5,1,1,145,36,2,71,1
9.4,208,382,0,0,1,4,991,6,14,65,2
8.63,322,261,2,5,1,1,2723,45,7,86,2
8.27,363,217,0,3,3,2,1712,89,89,95,2
6.37,429,231,2,6,4,0,1111,57,83,71,1
7.47,481,335,2,3,0,0,2352,82,44,60,2
7.06,85,71,4,6,0,3,1017,73,49,65,1
6.98,284,475,0,0,4,4,961,55,65,83,2
9.89,59,15,4,7,2,3,2677,83,32,76,1
7.57,53,37,3,0,4,1,1227,94,48,94,2
9.57,92,176,1,7,1,1,1281,99,16,64,1
8.52,324,444,0,1,1,1,1671,5,40,98,2
9.18,457,320,3,2,0,4,2637,78,18,68,1
8.01,457,381,3,5,4,0,374,87,75,75,1
8.31,372,82,4,0,0,2,1620,29,10,67,1
7.97,264,433,4,5,2,2,1734,8,59,77,1
6.78,381,16,1,2,5,1,1822,64,20,90,2
8.89,212,368,1,2,5,1,1905,49,43,77,2
7.12,332,155,1,2,5,1,1606,14,90,81,2
6.1,9,171,1,6,3,4,611,57,22,83,2
8.58,357,395,4,2,3,2,2132,5,78,79,1
6.71,202,69,2,0,2,3,166,78,85,79,1
9.76,195,70,4,5,1,0,2206,70,12,76,1
9.82,57,254,2,3,1,3,499,45,45,61,1
9.66,493,455,4,5,1,0,1121,90,52,93,1
7.48,255,130,4,5,0,4,310,9,56,97,1
6.06,222,48,1,0,5,0,2015,95,54,75,2
9.71,368,20,2,0,0,4,1936,84,10,98,1
7.71,179,391,3,4,3,2,1296,43,80,86,1
9.87,417,319,3,4,1,0,2331,36,14,63,1
9.85,361,219,3,1,1,1,2660,53,39,77,1
9.41,34,186,1,2,5,1,1814,99,97,69,2
7.18,358,413,3,2,2,4,1070,77,14,61,1
7.54,102,31,4,4,3,2,2433,38,12,77,2
9.4,160,202,1,3,5,4,502,59,28,90,1
7.27,199,275,3,1,0,3,1948,40,36,95,2
6.68,159,241,1,5,3,3,1697,47,66,99,2
8.23,182,15,4,3,5,3,2015,77,58,85,1
9.74,352,408,1,4,1,1,313,1,47,71,1
8.78,135,315,3,5,1,3,326,23,57,62,1
8.28,429,172,1,3,0,0,1732,9,41,97,2
6.39,397,136,0,2,0,3,954,41,9,89,2
8.46,225,178,3,7,3,1,516,5,15,95,1
9.96,391,358,4,7,4,0,1034,2,48,77,1
6.56,242,60,2,4,1,2,775,61,92,72,1
8.07,105,496,1,5,1,4,987,33,81,62,1
9.51,70,423,1,3,4,4,2361,89,99,63,2
8.96,76,103,3,1,3,0,2950,73,53,71,2
8.79,53,316,3,1,2,0,420,37,98,70,1
8.81,276,194,0,0,2,4,2139,53,61,70,2
7.44,110,255,4,6,1,4,1099,84,65,80,1
7.17,223,463,1,5,2,0,1034,24,88,82,1
9.24,74,75,1,4,3,4,450,65,88,76,1
9.24,13,270,2,4,2,2,664,35,91,60,1
9.47,458,180,1,7,0,3,2403,64,100,97,1
9.65,257,131,1,5,3,3,2978,43,42,91,2
8.05,481,150,0,4,4,2,2482,35,46,66,2
8.01,188,154,2,2,1,3,2689,43,18,73,2
9.19,363,358,1,7,3,3,411,87,16,60,1
8.6,238,234,1,2,2,3,2055,73,85,97,2
8.81,400,247,4,4,3,1,1266,34,81,68,1
9.18,333,164,1,7,5,2,500,59,25,89,1
9.56,472,204,0,5,4,4,230,85,78,93,1
7.35,303,426,1,3,5,0,1793,46,60,85,2
7.5,90,164,1,7,3,2,2336,97,28,76,2
6.38,391,487,3,2,4,2,657,95,61,81,1
8.31,183,212,1,5,4,1,274,15,70,78,1
6.14,16,412,2,4,3,1,2628,93,81,72,2
7.86,452,253,3,2,1,3,922,35,74,75,1
8.17,11,156,2,5,1,1,1348,58,7,87,2
7.15,165,176,2,0,2,4,1111,60,51,100,2
8.36,145,74,0,7,5,4,2953,94,60,99,2
6.12,281,434,1,1,3,3,1101,93,39,77,2
6.15,478,177,2,6,5,1,1598,68,24,100,1
9.29,36,283,1,0,5,3,73,87,77,71,1
7.44,69,329,1,4,3,0,1092,45,97,76,2
6.51,168,132,0,5,0,1,2266,99,9,78,2
8.09,334,124,0,1,1,1,2294,90,79,95,2
9.08,169,311,2,3,4,1,2143,13,51,96,2
6.86,496,319,2,4,0,1,2738,100,28,98,2
8.49,252,126,3,3,3,4,2867,76,57,78,2
6.34,345,376,1,3,0,3,2050,19,50,83,2
6.21,498,344,1,2,1,4,494,27,69,86,1
8.13,459,224,0,2,3,3,2880,5,7,96,2
8.16,296,16,0,1,5,0,2732,72,21,60,2
8.55,430,496,2,1,5,1,564,21,43,96,1
8.9,141,480,3,5,1,2,549,86,36,79,1
9.9,384,472,3,2,0,4,66,7,62,85,1
8.07,272,352,0,7,2,2,1116,0,86,98,1
7.29,224,310,0,7,4,0,1208,70,2,62,2
9.18,182,245,3,6,4,2,2247,60,44,71,1
7.08,220,136,3,1,2,0,1703,60,89,92,2
7.76,52,474,2,5,2,4,744,75,34,83,1
6.31,117,216,3,7,2,0,372,38,37,79,1
6.1,364,195,1,0,1,4,2134,80,65,81,2
9.85,158,200,3,4,3,4,1852,49,83,74,1
9.34,445,365,4,0,2,2,2360,79,81,79,1
8.78,135,206,3,4,1,3,420,67,40,82,1
7.64,413,15,0,5,5,3,897,100,77,82,1
6.69,76,399,0,2,0,3,1577,8,91,91,2
6.63,335,12,4,6,0,1,2147,8,93,69,1
7.0,449,77,1,0,2,2,159,90,15,89,1
8.2,44,213,3,6,0,0,2465,75,49,78,2
8.86,17,340,3,3,2,3,1021,33,35,90,1
8.64,354,328,4,0,0,2,1413,22,46,79,1
7.12,428,446,2,1,0,1,427,98,60,63,1
9.82,402,118,2,0,3,2,395,8,81,79,1
8.95,204,424,1,7,3,0,1056,76,70,68,1
8.22,498,180,3,2,0,3,1409,49,10,85,1
8.45,323,323,3,2,3,0,1067,57,14,78,1
7.68,82,329,3,6,2,1,2652,42,45,86,2
6.99,49,354,0,1,4,0,1233,1,75,98,2
7.42,280,372,2,4,2,1,882,65,62,78,1
9.03,165,136,4,1,3,0,2827,28,88,91,2
6.06,242,178,0,7,1,1,283,44,65,69,1
6.46,376,431,0,5,0,2,1100,56,10,95,2
6.18,478,207,2,4,3,2,351,21,32,83,1
6.16,163,432,3,2,5,2,547,42,11,96,1
9.42,323,401,1,6,5,2,2585,84,3,95,2
8.81,55,393,4,6,3,0,804,58,50,100,1
7.9,38,468,2,2,3,4,661,5,83,78,1
6.39,318,370,1,5,5,1,2359,56,100,100,2
7.97,127,53,2,4,2,1,2084,27,89,83,2
7.89,390,78,2,0,0,4,1420,79,2,73,2
6.69,121,270,2,0,4,1,1226,0,60,97,2
7.74,246,394,2,1,5,1,2586,22,42,74,2
7.59,185,423,3,6,5,2,1197,7,1,70,1
8.46,207,117,0,2,5,1,985,60,71,74,2
8.54,314,367,2,0,3,1,1544,71,88,81,2
6.18,303,105,1,2,1,3,2891,0,46,63,3
7.5,388,104,1,1,5,1,1661,10,87,83,2
8.5,238,302,1,3,0,4,1937,7,18,85,2
8.01,214,117,0,2,4,1,1446,50,95,64,2
9.43,291,381,0,7,5,4,2287,30,0,97,2
8.63,223,228,1,7,1,1,1705,35,65,71,1
6.65,87,147,3,3,5,4,1423,71,11,61,2
6.28,24,353,0,6,4,1,2643,87,42,97,3
8.57,428,149,0,7,4,1,1619,90,54,98,1
6.11,219,303,3,2,5,3,2557,28,40,89,2
8.34,274,255,2,4,0,3,74,81,97,87,1
9.76,134,81,0,5,2,1,796,72,62,64,1
8.3,491,15,1,7,1,3,485,35,61,100,1
7.55,441,388,1,3,5,0,675,37,56,86,1
8.57,232,192,3,4,3,0,1061,77,89,67,1
7.83,464,210,1,5,4,2,667,12,19,100,1
8.18,65,73,4,4,1,2,2821,39,13,92,2
9.77,79,276,1,1,0,0,2754,51,36,73,2
7.54,422,60,3,7,1,2,1896,23,71,78,1
9.84,254,460,3,1,3,1,881,60,62,87,1
9.62,124,438,3,0,3,1,757,77,4,95,1
6.78,145,23,4,3,0,2,2037,71,42,76,2
6.28,102,22,0,0,1,0,1725,11,83,89,3
6.4,384,342,2,7,5,4,1663,51,70,96,1
6.07,446,394,1,6,2,1,2529,94,50,71,2
6.38,386,430,0,3,2,3,2934,97,68,66,3
8.73,382,257,3,1,5,4,1504,99,40,92,1
6.28,276,197,0,1,4,3,828,84,86,81,2
7.28,381,52,0,5,5,1,1568,3,61,90,2
9.38,123,138,4,5,4,2,2448,10,22,84,1
6.09,413,270,3,1,1,3,2022,55,86,83,2
9.26,266,200,3,6,5,0,2413,100,16,91,1
7.13,277,395,1,3,4,3,2348,6,40,82,2
6.47,110,377,1,7,3,0,1239,54,18,89,2
8.79,380,378,1,6,0,4,2394,75,28,95,2
8.52,312,163,1,6,4,4,2170,62,3,100,2
9.51,88,91,0,1,5,2,2375,4,68,74,2
8.94,386,22,0,0,2,0,674,2,73,85,1
9.21,157,410,1,4,5,2,2290,95,13,66,2
7.13,215,87,1,5,3,3,970,63,36,89,1
6.71,383,397,1,6,2,2,632,98,41,84,1
9.0,300,181,2,3,4,3,1622,99,55,82,1
9.23,35,354,1,4,5,4,277,11,98,86,1
9.96,86,282,2,0,4,2,2963,93,3,96,2
7.65,117,20,1,2,3,4,2612,32,5,90,2
7.49,327,48,3,5,2,3,1063,39,10,88,1
9.11,447,189,4,7,0,0,1369,40,86,76,1
7.36,181,204,0,1,0,1,909,2,19,66,2
9.72,67,455,3,5,3,3,683,25,81,63,1
9.43,433,43,4,5,5,3,374,37,13,94,1
7.72,358,491,2,5,4,1,1503,33,0,77,1
9.0,490,299,0,0,5,1,1218,66,62,99,2
9.02,158,127,2,2,3,4,1132,77,86,64,1
6.41,284,481,2,3,2,3,1965,13,94,92,2
9.61,442,188,0,0,0,3,1668,80,13,66,2
8.02,163,169,4,7,4,2,756,78,70,81,1
9.31,460,278,0,3,2,1,1920,11,48,85,2
7.28,360,200,1,4,0,0,1596,38,5,86,2
9.58,72,384,2,4,0,3,1330,93,47,60,1
7.56,118,124,1,7,1,2,343,61,60,72,1
6.04,340,291,0,3,4,0,17,48,22,69,1
9.62,498,310,0,6,3,4,2723,58,39,82,2
6.37,194,365,4,4,1,2,2568,50,76,71,2
7.28,88,15,2,4,0,0,2616,70,56,74,2
9.8,344,344,3,7,4,3,1724,34,21,71,1
9.8,75,273,0,7,4,2,263,50,17,83,1
8.29,220,481,3,1,1,1,1089,30,32,91,1
8.53,138,293,2,3,2,0,281,39,74,85,1
7.79,371,450,1,3,2,3,499,36,6,75,1
7.17,394,19,2,2,3,2,1560,13,39,94,2
7.31,240,18,4,7,4,0,2145,57,92,99,1
8.69,153,12,3,5,5,4,1632,27,64,75,1
9.01,52,16,3,1,1,4,1373,11,38,77,1
9.17,141,205,1,0,0,1,2625,69,61,77,2
9.16,319,29,1,1,2,2,2696,67,48,75,2
6.36,463,469,0,0,1,2,173,96,88,74,2
7.98,393,298,2,3,3,1,2461,55,33,82,2
6.23,30,303,4,1,3,2,2079,4,89,94,2
8.2,222,42,0,6,5,4,1849,8,58,66,2
7.77,291,92,2,2,4,4,2531,61,78,67,2
9.55,265,369,1,5,3,1,2183,81,28,64,2
7.4,281,65,4,4,3,3,159,95,24,88,1
6.47,275,118,1,0,5,1,621,94,59,87,2
6.57,380,308,1,4,5,4,242,33,69,89,1
9.05,43,71,3,5,2,1,1696,39,26,96,1
8.47,61,333,2,3,2,4,2654,90,67,85,2
6.4,200,161,0,3,3,3,1341,100,67,72,2
6.34,334,460,3,3,5,4,2237,100,42,100,2
8.8,8,329,2,4,4,2,448,38,36,76,1
6.29,70,327,2,5,2,0,266,12,49,93,1
9.29,89,454,2,6,2,3,1434,3,27,88,1
8.82,23,268,4,3,5,0,1093,8,35,66,1
6.33,139,217,3,3,3,3,599,71,84,73,1
6.34,315,253,0,4,4,3,1121,5,66,95,2
9.95,339,439,3,3,3,3,2302,32,59,75,1
7.5,375,58,1,5,0,3,2853,69,16,74,2
7.48,77,31,2,7,0,4,926,47,94,99,1
9.25,213,338,1,0,5,2,1322,80,61,66,2
9.79,15,119,3,1,4,4,2244,36,88,95,2
9.94,28,462,0,0,0,4,986,76,97,92,2
9.01,415,309,1,6,5,2,1886,21,46,65,1
7.51,466,1,1,3,4,3,931,49,48,60,1
6.33,374,117,4,5,0,2,650,18,87,82,1
9.11,290,36,3,5,1,0,1743,27,97,94,1
8.23,42,466,1,3,2,2,2517,63,22,98,2
7.7,351,96,3,6,5,4,1089,57,75,65,1
9.63,374,358,0,6,3,3,2809,24,87,69,2
6.44,52,369,1,7,4,4,898,71,80,74,2
7.97,275,416,0,3,0,0,1417,57,68,64,2
6.05,370,256,1,3,1,3,593,31,73,71,1
7.87,231,127,2,4,0,1,1872,46,60,91,2
6.23,211,358,4,5,1,4,1474,74,78,64,1
6.48,7,155,4,1,3,4,2384,37,77,61,2
6.47,121,144,4,7,2,2,1891,17,38,100,1
8.6,482,56,0,4,2,3,732,26,79,92,1
8.98,41,69,3,4,1,4,1267,36,22,65,1
8.33,332,435,4,5,5,0,653,41,48,85,1
9.85,232,43,1,6,0,3,262,35,63,85,1
7.5,69,211,1,7,2,3,1433,33,22,67,2
7.14,366,174,2,3,0,2,1471,14,15,84,1
9.47,15,140,0,0,4,4,1211,60,32,82,2
6.89,68,75,1,5,0,4,743,76,50,97,2
9.85,52,157,1,0,5,1,942,26,49,76,2
6.05,172,84,2,2,4,1,2294,18,79,75,2
9.88,434,321,2,5,4,3,911,99,65,86,1
6.17,481,308,3,7,2,4,1366,76,29,84,1
9.56,261,17,3,1,4,2,2090,6,97,91,1
8.11,378,283,3,5,0,4,657,60,34,84,1
9.97,288,387,1,7,3,2,383,0,58,91,1
6.3,462,41,2,2,5,1,1047,20,26,99,1
8.22,14,490,0,4,0,0,1442,15,35,78,2
9.88,269,381,3,2,1,4,1758,48,29,81,1
8.09,166,372,4,6,1,1,2625,28,53,78,1
8.52,62,133,1,2,0,0,848,87,35,70,2
8.78,260,101,0,5,1,0,624,82,60,81,1
7.82,499,136,1,2,3,1,1006,90,32,79,1
8.51,120,403,3,1,1,1,2810,46,64,75,2
8.34,345,492,1,5,2,1,1111,0,96,70,1
9.6,239,221,3,0,3,2,290,90,1,65,1
6.18,464,228,1,0,2,3,1481,13,11,100,2
7.12,106,293,3,2,2,3,912,74,78,62,1
9.8,494,451,2,5,3,3,1381,86,70,78,1
9.56,179,485,2,7,5,2,1970,46,2,69,1
7.82,15,305,2,1,2,1,1648,59,6,91,2
8.48,354,315,2,0,1,3,2494,83,44,80,2
7.11,421,396,2,3,0,2,1292,25,6,90,1
6.75,308,118,4,5,3,2,1623,17,59,65,1
7.85,214,98,1,6,0,1,584,35,15,96,1
7.41,76,349,2,5,3,0,1763,93,60,63,2
8.33,224,425,4,7,3,2,2128,52,58,94,1
6.31,92,323,4,6,2,4,84,67,95,72,1
9.9,180,408,1,7,0,2,2588,82,27,98,2
9.94,173,158,1,0,5,0,1438,61,66,71,2
8.79,353,238,3,0,1,0,2449,68,35,82,2
8.14,353,395,3,1,0,4,2698,65,47,62,2
7.24,218,319,2,1,3,3,984,9,23,76,2
9.26,142,334,0,0,1,2,2551,57,61,81,2
8.74,314,188,3,3,2,1,2399,48,21,88,1
6.65,433,308,0,3,1,1,2571,54,69,86,2
9.64,392,248,3,6,1,4,2696,42,72,66,1
9.29,281,25,4,2,0,0,1055,74,99,63,1
9.8,258,188,4,2,3,3,357,50,75,70,1
8.9,355,393,4,0,3,2,161,21,14,92,1
8.45,46,139,0,0,3,2,2697,42,69,94,3
7.67,4,405,2,0,4,2,2734,7,45,87,3
9.73,61,487,3,5,2,1,1923,2,56,77,1
9.46,467,180,3,3,0,3,1521,40,14,65,1
6.18,83,20,0,4,3,4,2317,52,75,82,3
6.11,132,162,4,2,1,1,1436,39,13,93,2
7.51,393,70,2,2,4,0,564,57,65,75,1
9.24,335,81,3,4,2,3,10,17,81,82,1
9.95,62,154,2,0,3,0,682,49,61,94,1
6.6,280,315,2,7,4,2,2213,85,26,65,2
